nr;datum;Locatie;Methode;Locatie_VA;Gewicht Glasaal;Gewicht maag-darmstelsel;Anorganic Material;Cladocera sp.;Annelida;Polychaete;Isopoda;Diptera sp.;Chironomida sp.;Crustaceae sp.;Cyclopoida sp.;Unidentified sp.;Amphipoda sp.;Calanoida sp.;Copepoda sp.;Harpacticoida sp.;Hexapoda sp.;Coleoptera Larvae;Pennate diatom;Plantae sp.;Stomach
156;21/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,15;0,0075;0;1;0;1;0;0;0;0;45;0;0;0;0;0;0;0;0;0;Food present
157;21/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,157;0,0107;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;Food present
158;21/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;;0,0108;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;Food present
159;21/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,179;0,008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
160;21/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,124;0,0054;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;Food present
161;21/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,158;0,0051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
162;21/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,123;0,0085;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
163;21/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,079;0,0055;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
164;21/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,153;0,0042;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
165;21/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,14;0,0085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
166;21/04/2017;GA-SU;Artificial Substrates;Ganzepoot;0,172;0,0064;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
167;21/04/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,135;0,0056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Empty
168;21/04/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,189;0,0138;1;0;0;2;0;0;0;0;5;0;0;0;4;1;0;0;0;0;Food present
169;21/04/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,282;0,0182;0;0;0;1;0;0;0;0;40;0;0;0;0;0;0;0;0;0;Food present
170;21/04/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,156;0,01;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;Food present
171;21/04/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,173;0,0126;0;0;0;1;0;0;0;0;0;1;10;0;2;3;0;0;0;0;Food present
172;22/04/2017;PG-KR;Lift Nets;Pumping Station;0,201;0,0074;2;0;0;1;0;0;0;0;0;1;0;0;0;4;0;0;0;0;Food present
173;22/04/2017;PG-KR;Lift Nets;Pumping Station;0,253;0,0143;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;Food present
174;22/04/2017;PG-KR;Lift Nets;Pumping Station;0,266;0,0187;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;Food present
175;22/04/2017;PG-KR;Lift Nets;Pumping Station;0,205;0,0136;0;0;0;0;0;0;0;0;2;1;0;0;0;2;0;0;0;0;Food present
176;28/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,248;0,02;0;5;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;Food present
177;28/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,193;0,0119;0;3;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;Food present
178;28/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,247;0,0121;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;Food present
179;28/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,301;0,0184;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;Food present
180;28/04/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,228;0,0137;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;Food present
181;28/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,193;0,018;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
182;28/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,19;0,012;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;Food present
183;28/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,177;0,0096;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;Food present
184;28/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,215;0,0166;2;0;0;0;0;0;0;0;17;2;0;0;1;0;0;0;0;0;Food present
185;28/04/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,245;0,019;0;0;0;0;0;0;0;0;60;1;0;0;1;0;0;0;0;0;Food present
186;28/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,201;0,0141;1;0;0;0;0;0;0;0;69;2;0;0;0;0;0;0;0;0;Food present
187;28/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,212;0,0181;1;0;0;1;0;0;0;0;56;0;0;0;7;0;0;0;0;0;Food present
188;28/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,123;0,0076;0;2;0;1;0;0;0;0;34;0;0;0;0;1;0;0;0;0;Food present
189;28/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,269;0,0148;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;Food present
190;28/04/2017;PG-RO-SU;Artificial Substrates;Pumping Station;0,197;0,0091;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
191;28/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,135;0,0177;0;3;0;2;0;0;0;0;148;1;0;0;0;0;0;0;0;0;Food present
192;28/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,17;0,019;1;12;0;0;0;0;0;0;4;0;0;2;64;0;0;0;0;0;Food present
193;28/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,147;0,001;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
194;28/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,2;0,0152;1;0;0;1;0;0;0;0;65;0;0;0;1;0;0;0;0;0;Food present
195;28/04/2017;PG-LO-SU;Artificial Substrates;Pumping Station;0,214;0,0252;1;0;0;1;0;0;0;0;124;0;0;0;6;0;0;0;0;0;Food present
196;5/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,155;0,0091;0;0;0;1;0;0;0;0;4;2;0;0;0;0;0;0;0;0;Food present
197;5/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,192;0,0152;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;Food present
198;5/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,202;0,0147;0;0;0;1;0;0;0;0;10;3;0;0;0;0;0;0;0;0;Food present
199;5/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,154;0,0036;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Food present
200;5/05/2017;PG-LO-PA;Eel Ladder;Pumping Station;0,094;0,0084;0;2;0;1;0;0;0;0;10;0;0;0;1;0;0;0;0;0;Food present
201;5/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,187;0,0099;0;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;Food present
202;5/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,177;0,0152;0;0;0;1;0;0;0;0;12;1;0;0;0;2;0;0;0;0;Food present
203;5/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,178;0,009;0;1;0;0;0;0;0;0;3;0;0;0;15;0;0;0;0;4;Food present
204;5/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,277;0,0168;1;0;0;1;0;0;0;0;40;1;0;0;0;0;0;0;0;0;Food present
205;5/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,231;0,0078;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;Food present
206;5/05/2017;SC-RO-SU;Artificial Substrates;Sluice Complex;0,206;0,0142;0;0;0;0;0;0;1;0;2;0;0;0;0;1;0;1;0;0;Food present
207;5/05/2017;SC-RO-SU;Artificial Substrates;Sluice Complex;0,171;0,0106;0;0;0;1;0;0;0;0;8;0;0;0;0;0;0;0;0;0;Food present
208;5/05/2017;SC-RO-SU;Artificial Substrates;Sluice Complex;0,143;0,0182;0;0;0;0;0;0;0;0;5;2;0;0;0;1;0;0;0;0;Food present
209;5/05/2017;SC-RO-SU;Artificial Substrates;Sluice Complex;0,151;;0;1;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;Food present
210;5/05/2017;SC-RO-SU;Artificial Substrates;Sluice Complex;0,202;0,0174;0;0;0;1;0;1;0;0;35;1;0;0;0;2;0;0;0;0;Food present
211;5/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,119;0,0159;0;0;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;Food present
212;5/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,209;0,0142;0;0;0;1;0;0;0;0;9;0;0;0;0;1;0;0;0;0;Food present
213;5/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,124;0,0145;1;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;Food present
214;5/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,19;0,0166;0;1;0;1;0;0;1;0;9;0;0;0;0;3;0;0;0;0;Food present
215;5/05/2017;MI-RO-SU;Artificial Substrates;Middle Veurne-Ambacht;0,211;0,013;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
216;12/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,144;0,0137;0;4;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;Food present
217;12/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,173;0,01;0;4;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;Food present
218;12/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,126;0,0135;1;6;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;Food present
219;12/05/2017;PG-RO-PA;Eel Ladder;Pumping Station;0,227;0,006;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
220;12/05/2017;PG-R0-PA;Eel Ladder;Pumping Station;0,319;0,0145;0;3;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Food present
221;12/05/2017;SC-RO-SU;Artificial Substrates;Sluice Complex;0,232;0,0174;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Food present
