sample_code,14:0,15:0,16:0,16:1+iso-17:0,cis-9-16:1,17:0,17:1+16:2,18:0,cis-9-18:1,cis-11-18:1,18:2n-6,20:0,18:3n-3,20:1,18:4n-3,20:3n-6,22:0,20:4n-6,20:4n-3,20:5n-3,24:1,22:5n-6,22:5n-3,22:6n-3
68,2.667,0.523,23.828,0.829,4.494,0.583,0.413,6.338,18.162,4.291,0.881,0.254,0.671,1.551,0.270,0.158,0.103,2.592,2.333,7.135,1.892,0.297,3.747,15.988
71,2.910,0.532,22.088,0.858,4.071,0.683,0.409,6.365,19.757,3.972,1.016,0.281,0.778,1.624,0.424,0.202,0.109,2.352,3.039,6.991,1.740,0.348,3.227,16.225
79,3.358,0.779,23.793,0.748,5.483,0.830,0.579,6.264,15.597,4.567,1.099,0.306,0.587,1.427,0.255,0.178,0.125,3.350,1.960,6.022,2.184,0.708,3.021,16.780
82,3.317,0.615,24.214,0.828,5.127,0.639,0.465,5.620,18.644,4.420,0.933,0.249,0.756,1.576,0.346,0.160,0.081,2.160,2.564,6.379,1.721,0.339,3.111,15.737
83,2.573,0.493,23.888,0.747,3.946,0.654,0.379,6.554,16.858,3.326,0.829,0.263,0.583,1.408,0.200,0.194,0.115,2.971,2.365,6.938,2.244,0.335,4.046,18.089
84,3.173,0.573,23.924,0.821,4.933,0.655,0.487,5.919,19.306,4.081,0.974,0.273,0.710,1.642,0.321,0.221,0.116,2.517,2.719,6.480,2.142,0.260,3.367,14.384
85,2.874,0.528,23.645,0.784,4.439,0.551,0.418,5.874,19.031,3.676,0.976,0.211,0.629,1.419,0.344,0.195,0.106,2.389,2.642,6.711,2.233,0.381,3.133,16.810
87,3.431,0.613,24.333,0.811,4.861,0.563,0.463,5.627,17.796,4.078,1.050,0.240,0.796,1.551,0.418,0.187,0.086,2.333,3.107,6.044,1.851,0.384,3.198,16.178
92,2.358,0.484,24.825,0.674,4.070,0.622,0.395,6.740,15.750,3.634,0.880,0.275,0.584,1.073,0.213,0.178,0.109,3.070,2.115,6.612,2.374,0.558,3.377,19.031
94,2.589,0.523,24.065,0.762,4.179,0.658,0.421,6.229,18.047,4.083,0.924,0.307,0.645,1.532,0.279,0.211,0.119,2.575,2.407,7.124,2.440,0.360,3.459,16.063
96,3.220,0.606,25.476,0.892,5.343,0.641,0.502,5.868,18.532,4.529,0.911,0.205,0.696,1.387,0.299,0.157,0.098,1.986,2.327,5.978,1.886,0.434,3.380,14.646
102,2.921,0.583,24.155,0.855,4.563,0.643,0.475,6.048,18.772,3.743,0.897,0.274,0.709,1.569,0.346,0.173,0.110,2.567,2.622,7.020,1.995,0.314,3.296,15.348
110,2.367,0.501,24.059,0.769,4.203,0.659,0.431,6.404,17.768,3.383,0.912,0.305,0.698,1.391,0.276,0.177,0.105,3.019,2.412,6.881,2.622,0.599,3.206,16.854
113,2.350,0.544,23.408,0.647,4.129,0.681,0.446,6.532,17.170,3.928,0.923,0.299,0.552,1.289,0.285,0.200,0.130,2.862,2.311,7.183,2.265,0.439,3.068,18.359
119,2.567,0.480,24.148,0.696,3.638,0.612,0.384,6.981,17.475,3.752,1.063,0.337,0.621,1.569,0.216,0.206,0.122,3.152,2.392,6.174,2.789,0.330,3.700,16.596
120,1.248,0.378,22.647,0.571,2.953,0.661,0.307,7.502,14.886,2.920,0.825,0.399,0.351,1.185,0.132,0.203,0.192,4.803,1.756,7.584,4.009,0.531,3.916,20.041
121,1.892,0.496,21.627,0.636,3.377,0.644,0.405,7.428,16.449,3.394,0.881,0.362,0.547,1.118,0.264,0.183,0.141,3.489,2.258,7.298,3.060,0.516,3.386,20.148
122,2.979,0.511,23.085,0.854,4.923,0.619,0.450,6.106,19.488,4.282,0.928,0.262,0.766,1.842,0.296,0.147,0.106,2.567,2.317,6.204,2.030,0.422,3.853,14.963
