sample_code;14:00;15:00;16:00;16:1+iso-17:0;cis-9-16:1;17:00;17:1+16:2;18:00;cis-9-18:1;cis-11-18:1;18:2n-6;20:00;18:3n-3;20:01;18:4n-3;20:3n-6;22:00;20:4n-6;20:4n-3;20:5n-3;24:01:00;22:5n-6;22:5n-3;22:6n-3;total Fatty acids
248;0,609;0,131;6,392;0,185;1,915;0,246;0,176;2,517;2,626;1,638;0,334;0,086;0,082;0,09;0,049;0,098;0,04;1,259;0,296;3,606;0,837;0,167;1,139;5,678;30,389
249;0,36;0,109;5,715;0,172;0,865;0,229;0,088;2,652;2,74;1,169;0,301;0,094;0,165;0,11;0,038;0,077;0,091;1,353;0,348;3,06;0,964;0,139;1,01;6,215;28,262
72;-8,157;-1,264;-57,477;-1,545;-10,656;-1,123;-1,096;-12,968;-41,013;-10,225;-1,94;-0,332;-1,397;-3,862;-0,478;-0,285;-0,093;-4,116;-5,375;-14,133;-3,666;-1,115;-9,123;-40,39;-232,838
73;-1,386;-0,243;-11,068;-0,268;-1,613;-0,232;-0,183;-2,766;-7,274;-1,696;-0,48;-0,088;-0,304;-0,623;-0,149;-0,048;-0,031;-0,92;-1,107;-2,839;-0,892;-0,245;-1,578;-8,138;-44,401
77;-0,938;-0,25;-13,054;-0,271;-1,826;-0,28;-0,172;-3,822;-8,403;-1,825;-0,415;-0,146;-0,224;-0,64;-0,104;-0,065;-0,032;-2,117;-1,203;-4,136;-1,772;-0,322;-1,744;-12,491;-56,57
78;-9,494;-1,54;-76,395;-2,148;-14,326;-1,714;-1,267;-19,657;-61,07;-13,183;-2,667;-0,617;-2,224;-5,034;-0,91;-0,514;-0,323;-7,681;-8,096;-20,284;-5,812;-1,119;-8,527;-44,543;-310,535
89;-0,602;-0,229;-11,899;-0,261;-1,463;-0,297;-0,146;-4,148;-7,067;-1,472;-0,34;-0,229;-0,146;-0,587;-0,032;-0,098;-0,099;-2,196;-0,988;-4,197;-2,177;-0,299;-1,993;-13,131;-54,527
93;47;8,351;392,69;10,012;71,229;8,201;6,442;97,676;287,662;71,209;14,202;3,984;12,486;26,841;4,985;2,368;1,797;39,052;47,526;128,055;37,245;7,281;60,166;283,765;1674,298
95;-3,573;-0,593;-26,783;-0,708;-4,902;-0,578;-0,542;-7,024;-18,292;-4,685;-1,237;-0,299;-0,838;-1,416;-0,404;-0,19;-0,085;-2,832;-3,73;-8,366;-2,07;-0,427;-3,553;-21,022;-114,635
97;7,277;1,333;59,813;1,42;11,812;1,318;0,949;15,087;43,586;10,344;2,221;0,571;1,413;3,565;0,655;0,483;0,323;6,645;6,188;16,852;5,261;1,122;8,846;42,436;250,62
99;-6,759;-1,126;-53,209;-1,417;-10,443;-1,227;-1,128;-13,327;-36,702;-9,258;-2,088;-0,429;-1,421;-3,141;-0,615;-0,476;-0,148;-6,912;-5,96;-16,383;-5,811;-0,895;-7,457;-35,209;-222,07
247;-1,722;-0,58;-19,57;-1,481;-3,377;-1,207;-0,401;-8,604;-10,237;-7,09;-1,139;-0,299;-0,37;-0,734;-0,126;-0,294;-0,229;-4,549;-1,069;-13,121;-2,638;-0,526;-4,765;-17,747;-104,11
258;0,491;0,146;7,921;0,22;0,977;0,256;0,125;3,205;4,965;1,309;0,479;0,084;0,298;0,268;0,104;0,056;0,035;1,322;0,595;2,767;1,255;0,319;1,253;8,177;36,725
264;0,525;0,117;5,615;0,214;1,051;0,216;0,117;2,451;3,249;0,939;0,556;0,109;0,358;0,128;0,156;0,07;0,077;1,616;0,407;2,684;1,018;0,161;0,871;5,096;27,936
268;0,386;0,134;6,84;0,298;0,875;0,23;0,105;2,882;3,954;1,444;0,243;0,097;0,095;0,111;0,022;0,042;0,049;1,434;0,342;2,646;1,269;0,194;0,883;6,088;30,866
98;2,069;0,331;17,633;0,42;3,458;0,427;0,289;4,636;12,294;3,012;0,682;0,153;0,435;1,077;0,187;0,108;0,052;1,89;1,927;4,931;1,547;0,363;2,333;13,135;73,532
52;2,467;0,433;19,57;0,551;4,342;0,437;0,352;5,062;15,819;4,02;0,781;0,161;0,649;1,341;0,221;0,126;0,07;1,747;2,299;6,061;1,477;0,304;3,155;13,845;85,826
51;2,229;0,453;20,424;0,513;3,668;0,464;0,383;5,004;14,143;3,796;0,722;0,172;0,495;1,035;0,196;0,114;0,072;2,019;2,012;5,381;2,043;0,462;2,788;15,258;84,229
48;1,42;0,372;14,815;0,382;2,502;0,363;0,246;4,005;10,701;2,419;0,563;0,156;0,285;0,906;0,124;0,114;0,068;1,93;1,447;4,816;1,626;0,241;2,368;11,518;63,586
250;0,898;0,206;9,23;0,393;1,884;0,424;0,216;4,052;4,212;2,468;0,471;0,137;0,148;0,229;0,048;0,113;0,079;1,794;0,497;5,411;1,543;0,268;2,173;8,204;45,601
